scenario,run,total_treatmentfailures,year
cycling_al_dhappq_2y,23,54185952,2031
cycling_al_dhappq_2y,24,51788184,2031
cycling_al_dhappq_2y,25,52480860,2031
cycling_al_dhappq_2y,26,51979692,2031
cycling_al_dhappq_2y,27,53364288,2031
cycling_al_dhappq_2y,28,54292972,2031
cycling_al_dhappq_2y,29,50838636,2031
cycling_al_dhappq_2y,30,52466052,2031
cycling_al_dhappq_2y,31,52848324,2031
cycling_al_dhappq_3y,0,48757412,2031
cycling_al_dhappq_3y,1,49466528,2031
cycling_al_dhappq_3y,2,48307996,2031
cycling_al_dhappq_3y,3,51212596,2031
cycling_al_dhappq_3y,4,49367404,2031
cycling_al_dhappq_3y,5,49686960,2031
cycling_al_dhappq_3y,6,48077720,2031
cycling_al_dhappq_3y,7,50045860,2031
cycling_al_dhappq_3y,8,48522736,2031
cycling_al_dhappq_3y,9,50594156,2031
cycling_al_dhappq_3y,10,49257240,2031
cycling_al_dhappq_3y,11,48601280,2031
cycling_al_dhappq_3y,12,49022360,2031
cycling_al_dhappq_3y,13,50463788,2031
cycling_al_dhappq_3y,14,52261020,2031
cycling_al_dhappq_3y,15,52342456,2031
cycling_al_dhappq_3y,16,50221632,2031
cycling_al_dhappq_3y,17,50943208,2031
cycling_al_dhappq_3y,18,50299324,2031
cycling_al_dhappq_3y,19,48675224,2031
cycling_al_dhappq_3y,20,48411340,2031
cycling_al_dhappq_3y,21,48396592,2031
cycling_al_dhappq_3y,22,49240744,2031
cycling_al_dhappq_3y,23,50548772,2031
cycling_al_dhappq_3y,24,48336732,2031
cycling_al_dhappq_3y,25,50071504,2031
cycling_al_dhappq_3y,26,50774708,2031
cycling_al_dhappq_3y,27,50547376,2031
cycling_al_dhappq_3y,28,48587076,2031
cycling_al_dhappq_3y,29,48032536,2031
cycling_al_dhappq_3y,30,49043628,2031
cycling_al_dhappq_3y,31,48714908,2031
cycling_al_dhappq_asaq_1y,0,44331964,2031
cycling_al_dhappq_asaq_1y,1,45718404,2031
cycling_al_dhappq_asaq_1y,2,45372880,2031
cycling_al_dhappq_asaq_1y,3,43475044,2031
cycling_al_dhappq_asaq_1y,4,43634208,2031
cycling_al_dhappq_asaq_1y,5,44497968,2031
cycling_al_dhappq_asaq_1y,6,44106368,2031
cycling_al_dhappq_asaq_1y,7,46240216,2031
cycling_al_dhappq_asaq_1y,8,44399236,2031
cycling_al_dhappq_asaq_1y,9,43650936,2031
cycling_al_dhappq_asaq_1y,10,45284768,2031
cycling_al_dhappq_asaq_1y,11,43760940,2031
cycling_al_dhappq_asaq_1y,12,45316896,2031
cycling_al_dhappq_asaq_1y,13,43296600,2031
cycling_al_dhappq_asaq_1y,14,44948320,2031
cycling_al_dhappq_asaq_1y,15,45254524,2031
cycling_al_dhappq_asaq_1y,16,44771496,2031
cycling_al_dhappq_asaq_1y,17,46769680,2031
cycling_al_dhappq_asaq_1y,18,44975732,2031
cycling_al_dhappq_asaq_1y,19,44388432,2031
cycling_al_dhappq_asaq_1y,20,44210648,2031
cycling_al_dhappq_asaq_1y,21,44052556,2031
cycling_al_dhappq_asaq_1y,22,45460500,2031
cycling_al_dhappq_asaq_1y,23,44163652,2031
cycling_al_dhappq_asaq_1y,24,44341032,2031
cycling_al_dhappq_asaq_1y,25,44763464,2031
cycling_al_dhappq_asaq_1y,26,44205988,2031
cycling_al_dhappq_asaq_1y,27,44319004,2031
cycling_al_dhappq_asaq_1y,28,43695500,2031
cycling_al_dhappq_asaq_1y,29,44162112,2031
cycling_al_dhappq_asaq_1y,30,45812956,2031
cycling_al_dhappq_asaq_1y,31,45069640,2031
cycling_al_dhappq_asaq_2y,0,44063972,2031
cycling_al_dhappq_asaq_2y,1,44753976,2031
cycling_al_dhappq_asaq_2y,2,44310784,2031
cycling_al_dhappq_asaq_2y,3,44093820,2031
cycling_al_dhappq_asaq_2y,4,43968980,2031
cycling_al_dhappq_asaq_2y,5,45450380,2031
cycling_al_dhappq_asaq_2y,6,43461356,2031
cycling_al_dhappq_asaq_2y,7,44556688,2031
cycling_al_dhappq_asaq_2y,8,44939080,2031
cycling_al_dhappq_asaq_2y,9,43142124,2031
cycling_al_dhappq_asaq_2y,10,44574048,2031
cycling_al_dhappq_asaq_2y,11,43805236,2031
cycling_al_dhappq_asaq_2y,12,44991756,2031
cycling_al_dhappq_asaq_2y,13,43519956,2031
cycling_al_dhappq_asaq_2y,14,46419732,2031
cycling_al_dhappq_asaq_2y,15,44926012,2031
cycling_al_dhappq_asaq_2y,16,44247128,2031
cycling_al_dhappq_asaq_2y,17,45776132,2031
cycling_al_dhappq_asaq_2y,18,43270708,2031
cycling_al_dhappq_asaq_2y,19,44103796,2031
cycling_al_dhappq_asaq_2y,20,43465528,2031
cycling_al_dhappq_asaq_2y,21,44294492,2031
cycling_al_dhappq_asaq_2y,22,45210740,2031
cycling_al_dhappq_asaq_2y,23,45907504,2031
cycling_al_dhappq_asaq_2y,24,45875304,2031
cycling_al_dhappq_asaq_2y,25,45382908,2031
cycling_al_dhappq_asaq_2y,26,45587376,2031
cycling_al_dhappq_asaq_2y,27,44402132,2031
cycling_al_dhappq_asaq_2y,28,44459108,2031
cycling_al_dhappq_asaq_2y,29,43366524,2031
cycling_al_dhappq_asaq_2y,30,45446496,2031
cycling_al_dhappq_asaq_2y,31,45996172,2031
cycling_asaq_al_1y,0,51211208,2031
cycling_asaq_al_1y,1,48920724,2031
cycling_asaq_al_1y,2,48803476,2031
cycling_asaq_al_1y,3,48167748,2031
cycling_asaq_al_1y,4,47679580,2031
cycling_asaq_al_1y,5,48616432,2031
cycling_asaq_al_1y,6,50435416,2031
